timestamp,wind_speed_ms,gust_ms,rainfall_mm
2024-03-05 22:00:00+00:00,29.25,36.93,1.14
2024-03-05 23:00:00+00:00,30.34,35.57,1.39
2024-03-06 00:00:00+00:00,26.62,33.81,0.85
2024-03-06 01:00:00+00:00,29.46,39.24,3.97
2024-03-06 02:00:00+00:00,29.79,36.31,1.13
2024-03-06 03:00:00+00:00,26.49,34.85,0.81
2024-03-06 04:00:00+00:00,25.67,34.19,0.81
2024-03-06 05:00:00+00:00,23.83,30.79,0.72
2024-03-06 06:00:00+00:00,26.81,29.81,0.89
2024-03-06 07:00:00+00:00,26.14,33.74,0.81
2024-03-06 08:00:00+00:00,24.33,37.95,0.57
2024-03-06 09:00:00+00:00,27.35,35.05,0.76
2024-03-06 10:00:00+00:00,25.46,29.5,1.95
2024-03-06 11:00:00+00:00,23.94,33.77,0.38
2024-03-06 12:00:00+00:00,24.18,33.06,0.39
2024-03-06 13:00:00+00:00,26.14,38.09,1.48
2024-03-06 14:00:00+00:00,24.54,34.39,0.77
2024-03-06 15:00:00+00:00,22.43,32.06,1.06
2024-03-06 16:00:00+00:00,22.73,30.69,0.51
2024-03-06 17:00:00+00:00,18.82,27.22,0.54
2024-03-06 18:00:00+00:00,19.83,32.21,0.19
2024-03-06 19:00:00+00:00,19.11,26.91,0.46
2024-03-06 20:00:00+00:00,17.24,20.48,0.23
2024-03-06 21:00:00+00:00,17.96,23.69,0.39
2024-03-06 22:00:00+00:00,15.29,23.91,0.19
2024-03-06 23:00:00+00:00,16.86,25.67,0.1
2024-03-07 00:00:00+00:00,16.49,19.9,0.12
2024-03-07 01:00:00+00:00,10.42,16.62,0.06
2024-03-07 02:00:00+00:00,16.96,23.32,0.18
2024-03-07 03:00:00+00:00,9.8,19.05,0.09
2024-03-07 04:00:00+00:00,13.72,17.15,0.07
2024-03-07 05:00:00+00:00,16.38,20.83,0.09
2024-03-07 06:00:00+00:00,14.12,18.8,0.06
2024-03-07 07:00:00+00:00,12.2,14.36,0.04
2024-03-07 08:00:00+00:00,12.77,14.53,0.04
2024-03-07 09:00:00+00:00,16.18,16.18,0.07
2024-03-07 10:00:00+00:00,11.19,13.1,0.03
2024-03-07 11:00:00+00:00,16.04,21.93,0.05
2024-03-07 12:00:00+00:00,13.84,16.76,0.05
2024-03-07 13:00:00+00:00,11.66,19.53,0.04
2024-03-07 14:00:00+00:00,12.31,16.2,0.02
2024-03-07 15:00:00+00:00,11.21,18.33,0.02
2024-03-07 16:00:00+00:00,13.89,18.5,0.02
2024-03-07 17:00:00+00:00,13.23,20.13,0.02
2024-03-07 18:00:00+00:00,8.76,12.11,0.02
2024-03-07 19:00:00+00:00,10.5,16.67,0.01
2024-03-07 20:00:00+00:00,9.36,12.54,0.02
2024-03-07 21:00:00+00:00,12.58,17.61,0.03
2024-03-07 22:00:00+00:00,7.94,11.04,0.01
2024-03-07 23:00:00+00:00,12.6,16.06,0.02
2024-03-08 00:00:00+00:00,9.75,13.29,0.01
2024-03-08 01:00:00+00:00,7.79,15.07,0.0
2024-03-08 02:00:00+00:00,8.56,10.84,0.0
2024-03-08 03:00:00+00:00,8.38,11.92,0.0
2024-03-08 04:00:00+00:00,7.67,13.31,0.01
2024-03-08 05:00:00+00:00,10.03,15.43,0.01
2024-03-08 06:00:00+00:00,7.96,11.14,0.0
2024-03-08 07:00:00+00:00,6.51,6.51,0.0
2024-03-08 08:00:00+00:00,9.59,14.51,0.0
2024-03-08 09:00:00+00:00,7.33,7.33,0.0
2024-03-08 10:00:00+00:00,9.11,14.81,0.0
2024-03-08 11:00:00+00:00,8.86,12.13,0.0
2024-03-08 12:00:00+00:00,8.88,13.52,0.0
2024-03-08 13:00:00+00:00,13.52,16.58,0.0
2024-03-08 14:00:00+00:00,10.19,10.21,0.0
2024-03-08 15:00:00+00:00,10.32,13.88,0.0
2024-03-08 16:00:00+00:00,6.78,9.35,0.0
2024-03-08 17:00:00+00:00,8.4,9.57,0.0
2024-03-08 18:00:00+00:00,9.61,13.01,0.0
2024-03-08 19:00:00+00:00,7.34,16.05,0.0
2024-03-08 20:00:00+00:00,10.32,14.82,0.0
2024-03-08 21:00:00+00:00,6.64,11.22,0.0
2024-03-08 22:00:00+00:00,8.02,12.86,0.0
2024-03-08 23:00:00+00:00,7.43,12.61,0.0
